id     subscription_startsubscription_endsegment
8912017-01-20   2017-03-07   30
8922017-01-20   NULL         30
8932017-01-20   2017-03-13   30
8942017-01-20   NULL         30
8952017-01-20   2017-03-27   30
8962017-01-20   NULL         30
8972017-01-20   NULL         30
8982017-01-21   2017-03-09   87
8992017-01-21   2017-03-16   87
9002017-01-21   NULL         87
9012017-01-21   2017-03-18   87
9022017-01-21   2017-02-24   87
9032017-01-21   NULL         87
9042017-01-21   2017-03-21   87
9052017-01-21   NULL         30
9062017-01-21   2017-02-22   30
9072017-01-21   NULL         30
9082017-01-21   NULL         30
9092017-01-21   2017-03-15   30
9102017-01-21   NULL         30
9112017-01-21   2017-03-13   30
9122017-01-22   2017-02-27   87
9132017-01-22   NULL         87
9142017-01-22   2017-03-03   87
9152017-01-22   2017-03-21   87
9162017-01-22   2017-02-24   87
9172017-01-22   2017-03-12   87
9182017-01-22   NULL         87
9192017-01-22   NULL         30
9202017-01-22   NULL         30
9212017-01-22   NULL         30
9222017-01-22   NULL         30
9232017-01-22   NULL         30
9242017-01-23   NULL         87
9252017-01-23   2017-03-23   87
9262017-01-23   2017-03-05   87
9272017-01-23   2017-03-19   87
9282017-01-23   2017-03-10   87
9292017-01-23   2017-03-10   87
9302017-01-23   2017-03-14   87
9312017-01-23   NULL         30
9322017-01-23   2017-03-08   30
9332017-01-23   NULL         30
9342017-01-23   2017-03-12   30
9352017-01-23   NULL         30
9362017-01-24   NULL         87
9372017-01-24   NULL         87
9382017-01-24   NULL         87
9392017-01-24   2017-03-16   87
9402017-01-24   2017-02-27   87
9412017-01-24   2017-03-20   87
9422017-01-24   NULL         87
9432017-01-24   NULL         87
9442017-01-24   NULL         87
9452017-01-24   2017-03-28   87
9462017-01-24   NULL         87
9472017-01-24   2017-03-17   87
9482017-01-24   2017-03-13   87
9492017-01-24   NULL         87
9502017-01-24   2017-03-15   87
9512017-01-24   2017-03-23   30
9522017-01-24   NULL         30
9532017-01-24   2017-03-15   30
9542017-01-24   NULL         30
9552017-01-24   NULL         30
9562017-01-24   NULL         30
9572017-01-24   NULL         30
9582017-01-24   NULL         30
9592017-01-25   2017-03-08   87
9602017-01-25   NULL         87
9612017-01-25   2017-03-11   87
9622017-01-25   NULL         87
9632017-01-25   NULL         87
9642017-01-25   2017-03-20   87
9652017-01-25   NULL         87
9662017-01-25   NULL         87
9672017-01-25   NULL         87
9682017-01-25   2017-03-18   87
9692017-01-25   2017-03-01   87
9702017-01-25   NULL         87
9712017-01-25   NULL         30
9722017-01-25   NULL         30
 9732017-01-25   NULL         30
 9742017-01-25   NULL         30
 9752017-01-25   NULL         30
 9762017-01-25   NULL         30
 9772017-01-25   NULL         30
 9782017-01-26   2017-03-23   87
 9792017-01-26   NULL         87
 9802017-01-26   NULL         87
 9812017-01-26   2017-03-20   87
 9822017-01-26   NULL         87
 9832017-01-26   2017-03-21   87
 9842017-01-26   2017-03-25   87
 9852017-01-26   NULL         87
 9862017-01-26   NULL         30
 9872017-01-26   NULL         30
 9882017-01-26   NULL         30
 9892017-01-26   NULL         30
 9902017-01-26   NULL         30
 9912017-01-26   2017-02-26   30
 9922017-01-26   NULL         30
 9932017-01-26   NULL         30
 9942017-01-26   NULL         30
 9952017-01-26   NULL         30
 9962017-01-26   NULL         30
 9972017-01-26   NULL         30
 9982017-01-26   NULL         30
 9992017-01-26   2017-03-05   30
10002017-01-26   NULL         30
10012017-01-27   NULL         87
10022017-01-27   2017-03-20   87
10032017-01-27   2017-03-15   87
10042017-01-27   NULL         87
10052017-01-27   NULL         87
10062017-01-27   2017-03-23   87
10072017-01-27   NULL         87
10082017-01-27   NULL         30
10092017-01-27   NULL         30
10102017-01-27   NULL         30
10112017-01-27   NULL         30
10122017-01-27   NULL         30
10132017-01-27   2017-03-09   30
10142017-01-27   NULL         30
10152017-01-27   NULL         30
10162017-01-28   2017-03-13   87
10172017-01-28   NULL         87
10182017-01-28   2017-03-07   87
10192017-01-28   NULL         87
10202017-01-28   2017-03-01   87
10212017-01-28   NULL         87
10222017-01-28   2017-03-28   87
10232017-01-28   2017-03-30   87
10242017-01-28   2017-03-16   87
10252017-01-28   NULL         87
10262017-01-28   2017-03-12   87
10272017-01-28   NULL         30
10282017-01-28   NULL         30
10292017-01-28   NULL         30
10302017-01-28   NULL         30
10312017-01-28   NULL         30
10322017-01-28   NULL         30
10332017-01-28   NULL         30
10342017-01-28   NULL         30
10352017-01-29   2017-03-08   87
10362017-01-29   NULL         87
10372017-01-29   NULL         87
10382017-01-29   2017-03-08   87
10392017-01-29   2017-03-14   87
10402017-01-29   NULL         87
10412017-01-29   NULL         87
10422017-01-29   2017-03-20   87
10432017-01-29   NULL         87
10442017-01-29   NULL         30
10452017-01-29   NULL         30
10462017-01-29   2017-03-12   30
10472017-01-29   NULL         30
10482017-01-29   NULL         30
10492017-01-29   NULL         30
10502017-01-29   NULL         30
10512017-01-29   NULL         30
10522017-01-29   NULL         30
10532017-01-29   NULL         30
10542017-01-29   NULL         30
10552017-01-30   2017-03-19   87
10562017-01-30   NULL         87
10572017-01-30   NULL         87
10582017-01-30   NULL         87
10592017-01-30   NULL         87
10602017-01-30   2017-03-16   87
10612017-01-30   2017-03-28   87
10622017-01-30   NULL         30
10632017-01-30   NULL         30
10642017-01-30   NULL         30
10652017-01-30   NULL         30
10662017-01-30   NULL         30
10672017-01-31   NULL         87
10682017-01-31   NULL         87
10692017-01-31   NULL         87
10702017-01-31   2017-03-05   87
10712017-01-31   NULL         87
10722017-01-31   NULL         30
10732017-01-31   NULL         30
10742017-01-31   2017-03-14   30
10752017-01-31   NULL         30
10762017-01-31   NULL         30
10772017-01-31   NULL         30
10782017-02-01   NULL         87
10792017-02-01   NULL         87
10802017-02-01   NULL         87
10812017-02-01   NULL         87
10822017-02-01   NULL         30
10832017-02-01   NULL         30
10842017-02-01   NULL         30
10852017-02-01   NULL         30
10862017-02-01   2017-03-23   30
10872017-02-01   NULL         30
10882017-02-01   NULL         30
10892017-02-01   2017-03-23   30
10902017-02-01   NULL         30
10912017-02-01   NULL         30
10922017-02-02   NULL         87
10932017-02-02   2017-03-05   87
10942017-02-02   NULL         87
10952017-02-02   NULL         87
10962017-02-02   NULL         87
10972017-02-02   2017-03-15   87
10982017-02-02   2017-03-06   87
10992017-02-02   NULL         87
11002017-02-02   NULL         30
11012017-02-02   NULL         30
11022017-02-02   NULL         30
11032017-02-02   NULL         30
11042017-02-02   2017-03-25   30
11052017-02-02   NULL         30
11062017-02-02   NULL         30
11072017-02-02   NULL         30
11082017-02-03   2017-03-09   87
11092017-02-03   NULL         87
11102017-02-03   NULL         87
11112017-02-03   2017-03-07   87
11122017-02-03   2017-03-10   87
11132017-02-03   2017-03-16   87
11142017-02-03   2017-03-08   87
11152017-02-03   NULL         87
11162017-02-03   NULL         87
11172017-02-03   NULL         30
11182017-02-03   NULL         30
11192017-02-03   NULL         30
11202017-02-03   NULL         30
11212017-02-03   NULL         30
11222017-02-03   NULL         30
11232017-02-03   NULL         30
11242017-02-03   NULL         30
11252017-02-04   NULL         87
11262017-02-04   2017-03-21   87
11272017-02-04   NULL         87
11282017-02-04   NULL         87
11292017-02-04   2017-03-31   87
11302017-02-04   2017-03-26   87
11312017-02-04   NULL         87
11322017-02-04   NULL         87
11332017-02-04   NULL         30
11342017-02-04   NULL         30
11352017-02-04   NULL         30
11362017-02-04   NULL         30
11372017-02-04   NULL         30
11382017-02-04   NULL         30
11392017-02-04   NULL         30
11402017-02-05   NULL         87
11412017-02-05   NULL         87
11422017-02-05   2017-03-30   87
11432017-02-05   NULL         87
11442017-02-05   NULL         87
11452017-02-05   NULL         87
11462017-02-05   2017-03-13   30
11472017-02-05   NULL         30
11482017-02-05   2017-03-29   30
11492017-02-05   NULL         30
11502017-02-05   NULL         30
11512017-02-05   NULL         30
11522017-02-06   NULL         87
11532017-02-06   NULL         87
11542017-02-06   2017-03-18   87
11552017-02-06   NULL         87
11562017-02-06   2017-03-24   87
11572017-02-06   2017-03-30   87
11582017-02-06   NULL         87
11592017-02-06   NULL         87
11602017-02-06   NULL         87
11612017-02-06   2017-03-31   87
11622017-02-06   NULL         30
11632017-02-06   NULL         30
11642017-02-06   NULL         30
11652017-02-06   NULL         30
11662017-02-06   NULL         30
11672017-02-06   NULL         30
11682017-02-06   NULL         30
11692017-02-06   NULL         30
11702017-02-07   NULL         87
11712017-02-07   NULL         87
11722017-02-07   NULL         87
11732017-02-07   NULL         87
11742017-02-07   NULL         87
11752017-02-07   2017-03-28   87
11762017-02-07   NULL         87
11772017-02-07   NULL         30
11782017-02-07   NULL         30
11792017-02-07   NULL         30
11802017-02-07   NULL         30
11812017-02-07   NULL         30
11822017-02-07   NULL         30
11832017-02-07   NULL         30
11842017-02-07   NULL         30
11852017-02-07   2017-03-15   30
11862017-02-07   2017-03-18   30
11872017-02-08   NULL         87
11882017-02-08   NULL         87
11892017-02-08   NULL         87
11902017-02-08   NULL         87
11912017-02-08   2017-03-22   87
11922017-02-08   NULL         87
11932017-02-08   NULL         87
11942017-02-08   NULL         87
11952017-02-08   NULL         30
11962017-02-08   NULL         30
11972017-02-08   NULL         30
11982017-02-08   NULL         30
11992017-02-08   NULL         30
12002017-02-08   NULL         30
12012017-02-08   NULL         30
12022017-02-08   2017-03-28   30
12032017-02-08   NULL         30
12042017-02-09   NULL         87
12052017-02-09   NULL         87
12062017-02-09   2017-03-31   87
12072017-02-09   2017-03-23   87
12082017-02-09   NULL         87
12092017-02-09   2017-03-19   87
12102017-02-09   2017-03-17   87
12112017-02-09   NULL         87
12122017-02-09   NULL         30
12132017-02-09   NULL         30
12142017-02-09   NULL         30
12152017-02-09   NULL         30
12162017-02-09   NULL         30
12172017-02-09   NULL         30
12182017-02-09   NULL         30
12192017-02-09   NULL         30
12202017-02-09   NULL         30
12212017-02-09   2017-03-15   30
12222017-02-09   NULL         30
12232017-02-10   NULL         87
12242017-02-10   2017-03-29   87
12252017-02-10   NULL         87
12262017-02-10   NULL         87
12272017-02-10   NULL         87
12282017-02-10   2017-03-24   87
12292017-02-10   2017-03-22   87
12302017-02-10   NULL         30
12312017-02-10   NULL         30
12322017-02-10   NULL         30
12332017-02-10   NULL         30
12342017-02-10   NULL         30
12352017-02-10   NULL         30
12362017-02-10   NULL         30
12372017-02-10   NULL         30
12382017-02-10   NULL         30
12392017-02-10   NULL         30
12402017-02-11   NULL         87
12412017-02-11   NULL         87
12422017-02-11   NULL         87
12432017-02-11   NULL         87
12442017-02-11   NULL         87
12452017-02-11   NULL         87
12462017-02-11   2017-03-21   87
12472017-02-11   NULL         87
12482017-02-11   NULL         87
12492017-02-11   NULL         30
12502017-02-11   NULL         30
12512017-02-11   NULL         30
12522017-02-11   NULL         30
12532017-02-11   NULL         30
12542017-02-11   NULL         30
12552017-02-11   NULL         30
12562017-02-11   2017-03-23   30
12572017-02-11   NULL         30
12582017-02-11   NULL         30
12592017-02-11   NULL         30
12602017-02-12   NULL         87
12612017-02-12   NULL         87
12622017-02-12   NULL         87

12632017-02-12   NULL         87
12642017-02-12   2017-03-15   87
12652017-02-12   2017-03-25   87
12662017-02-12   NULL         87
12672017-02-12   NULL         87
12682017-02-12   NULL         87
12692017-02-12   NULL         30
12702017-02-12   NULL         30
12712017-02-12   NULL         30
12722017-02-12   NULL         30
12732017-02-12   NULL         30
12742017-02-12   NULL         30
12752017-02-12   NULL         30
12762017-02-12   NULL         30
12772017-02-13   NULL         87
12782017-02-13   NULL         87
12792017-02-13   NULL         87
12802017-02-13   2017-03-30   87
12812017-02-13   NULL         30
12822017-02-13   NULL         30
12832017-02-13   NULL         30
12842017-02-13   NULL         30
12852017-02-13   NULL         30
12862017-02-13   NULL         30
12872017-02-13   NULL         30
12882017-02-14   NULL         87
12892017-02-14   NULL         87
12902017-02-14   2017-03-21   87
12912017-02-14   2017-03-30   87
12922017-02-14   NULL         87
12932017-02-14   NULL         87
12942017-02-14   NULL         87
12952017-02-14   2017-03-31   87
12962017-02-14   NULL         30
12972017-02-14   NULL         30
12982017-02-14   NULL         30
12992017-02-14   NULL         30
13002017-02-14   NULL         30
13012017-02-14   NULL         30
13022017-02-14   NULL         30
13032017-02-14   NULL         30
13042017-02-14   NULL         30
13052017-02-15   2017-03-31   87
13062017-02-15   2017-03-18   87
13072017-02-15   NULL         87
13082017-02-15   NULL         87
13092017-02-15   NULL         87
13102017-02-15   NULL         87
13112017-02-15   NULL         30
13122017-02-15   NULL         30
13132017-02-15   NULL         30
13142017-02-15   NULL         30
13152017-02-15   NULL         30
13162017-02-15   NULL         30
13172017-02-15   NULL         30
13182017-02-16   NULL         87
13192017-02-16   NULL         87
13202017-02-16   NULL         87
13212017-02-16   NULL         87
13222017-02-16   NULL         30
13232017-02-16   2017-03-25   30
13242017-02-16   2017-03-23   30
13252017-02-16   NULL         30
13262017-02-16   NULL         30
13272017-02-16   2017-03-22   30
13282017-02-16   NULL         30
13292017-02-16   NULL         30
13302017-02-17   NULL         87
13312017-02-17   2017-03-26   87
13322017-02-17   NULL         87

13332017-02-17   NULL         87
13342017-02-17   NULL         87
13352017-02-17   NULL         87
13362017-02-17   NULL         30
13372017-02-17   NULL         30
13382017-02-17   NULL         30
13392017-02-17   NULL         30
13402017-02-17   NULL         30
13412017-02-17   NULL         30
13422017-02-17   NULL         30
13432017-02-17   NULL         30
13442017-02-17   NULL         30
13452017-02-18   NULL         87
13462017-02-18   2017-03-24   87
13472017-02-18   NULL         87
13482017-02-18   2017-03-25   87
13492017-02-18   NULL         87
13502017-02-18   NULL         30
13512017-02-18   NULL         30
13522017-02-18   NULL         30
13532017-02-18   2017-03-27   30
13542017-02-18   NULL         30
13552017-02-18   2017-03-31   30
13562017-02-18   NULL         30
13572017-02-18   NULL         30
13582017-02-18   NULL         30
13592017-02-18   NULL         30
13602017-02-19   NULL         87
13612017-02-19   NULL         87
13622017-02-19   NULL         87
13632017-02-19   NULL         87
13642017-02-19   NULL         87
13652017-02-19   NULL         87
13662017-02-19   NULL         87
13672017-02-19   NULL         87
13682017-02-19   NULL         87
13692017-02-19   NULL         30
13702017-02-19   NULL         30
13712017-02-19   NULL         30
13722017-02-19   NULL         30
13732017-02-19   NULL         30
13742017-02-19   NULL         30
13752017-02-19   NULL         30
13762017-02-19   NULL         30
13772017-02-19   NULL         30
13782017-02-20   NULL         87
13792017-02-20   NULL         87
13802017-02-20   NULL         87
13812017-02-20   2017-03-29   87
13822017-02-20   NULL         87
13832017-02-20   NULL         87
13842017-02-20   NULL         87
13852017-02-20   NULL         87
13862017-02-20   NULL         87
13872017-02-20   NULL         87
13882017-02-20   2017-03-27   87
13892017-02-20   NULL         87
13902017-02-20   NULL         30
13912017-02-20   NULL         30
13922017-02-20   NULL         30
13932017-02-20   NULL         30
13942017-02-20   NULL         30
13952017-02-20   NULL         30
13962017-02-20   NULL         30
13972017-02-21   NULL         87
13982017-02-21   NULL         87
13992017-02-21   NULL         87
14002017-02-21   NULL         87
14012017-02-21   NULL         87
14022017-02-21   NULL         87
14032017-02-21   NULL         30
14042017-02-21   NULL         30
14052017-02-21   NULL         30
14062017-02-21   NULL         30
14072017-02-21   NULL         30
14082017-02-21   NULL         30
14092017-02-21   NULL         30
14102017-02-21   NULL         30
14112017-02-21   NULL         30
14122017-02-21   NULL         30
14132017-02-22   NULL         87
14142017-02-22   NULL         87
14152017-02-22   NULL         87
14162017-02-22   NULL         87
14172017-02-22   NULL         87
14182017-02-22   NULL         30
14192017-02-22   NULL         30
14202017-02-22   NULL         30
14212017-02-22   NULL         30
14222017-02-23   NULL         87
14232017-02-23   NULL         87
14242017-02-23   NULL         87
14252017-02-23   NULL         87
14262017-02-23   NULL         87
14272017-02-23   2017-03-31   87
14282017-02-23   NULL         87
14292017-02-23   NULL         87
14302017-02-23   NULL         87
14312017-02-23   NULL         87
14322017-02-23   NULL         87
14332017-02-23   NULL         87
14342017-02-23   NULL         87
14352017-02-23   NULL         30
14362017-02-23   NULL         30
14372017-02-23   NULL         30
14382017-02-23   NULL         30
14392017-02-23   NULL         30
14402017-02-23   NULL         30
14412017-02-24   NULL         87
14422017-02-24   NULL         87
14432017-02-24   NULL         87
14442017-02-24   NULL         87
14452017-02-24   NULL         87
14462017-02-24   NULL         87
14472017-02-24   NULL         30
14482017-02-24   NULL         30
14492017-02-24   NULL         30
14502017-02-24   NULL         30
14512017-02-24   NULL         30
14522017-02-24   NULL         30
14532017-02-25   NULL         87
14542017-02-25   NULL         87
14552017-02-25   NULL         87
14562017-02-25   NULL         87
14572017-02-25   NULL         87
14582017-02-25   NULL         87
14592017-02-25   NULL         87
14602017-02-25   NULL         87
14612017-02-25   NULL         87
14622017-02-25   NULL         87
14632017-02-25   NULL         87
14642017-02-25   NULL         30
14652017-02-25   NULL         30
14662017-02-25   NULL         30
14672017-02-25   NULL         30
14682017-02-25   NULL         30
14692017-02-25   NULL         30
14702017-02-25   NULL         30
14712017-02-25   NULL         30
14722017-02-25   NULL         30
14732017-02-26   NULL         87
14742017-02-26   2017-03-29   87
14752017-02-26   NULL         87
14762017-02-26   NULL         87
14772017-02-26   NULL         87
14782017-02-26   NULL         87
14792017-02-26   NULL         87
14802017-02-26   NULL         87
14812017-02-26   NULL         87
14822017-02-26   NULL         30
14832017-02-26   NULL         30
14842017-02-26   NULL         30
14852017-02-26   NULL         30
14862017-02-26   NULL         30
14872017-02-26   NULL         30
14882017-02-26   NULL         30
14892017-02-27   NULL         87
14902017-02-27   NULL         87
14912017-02-27   NULL         87
14922017-02-27   NULL         87
14932017-02-27   NULL         87
14942017-02-27   NULL         87
14952017-02-27   NULL         87
14962017-02-27   2017-03-30   87
14972017-02-27   NULL         87
14982017-02-27   NULL         87
14992017-02-27   NULL         87
15002017-02-27   NULL         30
15012017-02-27   NULL         30
15022017-02-27   NULL         30
15032017-02-27   NULL         30
15042017-02-27   NULL         30
15052017-02-27   NULL         30
15062017-02-27   NULL         30
15072017-02-27   NULL         30
15082017-02-27   NULL         30
15092017-02-27   NULL         30
15102017-02-27   NULL         30
15112017-02-27   NULL         30
15122017-02-27   NULL         30
15132017-02-28   NULL         87
15142017-02-28   NULL         87
15152017-02-28   NULL         87
15162017-02-28   NULL         87
15172017-02-28   NULL         87
15182017-02-28   NULL         87
15192017-02-28   NULL         87
15202017-02-28   NULL         87
15212017-02-28   NULL         87
15222017-02-28   NULL         87
15232017-02-28   NULL         87
15242017-02-28   NULL         87
15252017-02-28   NULL         87
15262017-02-28   NULL         87
15272017-02-28   NULL         30
15282017-02-28   NULL         30
15292017-02-28   NULL   30
15302017-02-28   NULL   30
15312017-02-28   NULL   30
15322017-02-28   NULL   30
15332017-02-28   NULL   30
15342017-02-28   NULL   30
15352017-02-28   NULL   30
15362017-02-28   NULL   30
15372017-02-28   NULL   30
15382017-03-01   NULL   87
15392017-03-01   NULL   87
15402017-03-01   NULL   87
15412017-03-01   NULL   87
15422017-03-01   NULL   87
15432017-03-01   NULL   87
15442017-03-01   NULL   87
15452017-03-01   NULL   87
15462017-03-01   NULL   87
15472017-03-01   NULL   87
15482017-03-01   NULL   87
15492017-03-01   NULL   87
15502017-03-01   NULL   30
15512017-03-01   NULL   30
15522017-03-01   NULL   30
15532017-03-01   NULL   30
15542017-03-01   NULL   30
15552017-03-01   NULL   30
15562017-03-01   NULL   30
15572017-03-01   NULL   30
15582017-03-01   NULL   30
15592017-03-02   NULL   87
15602017-03-02   NULL   87
15612017-03-02   NULL   87
15622017-03-02   NULL   87
15632017-03-02   NULL   87
15642017-03-02   NULL   30
15652017-03-02   NULL   30
15662017-03-02   NULL   30
15672017-03-02   NULL   30
15682017-03-02   NULL   30
15692017-03-03   NULL   87
15702017-03-03   NULL   87
15712017-03-03   NULL   30
15722017-03-03   NULL   30
15732017-03-03   NULL   30
15742017-03-03   NULL   30
15752017-03-03   NULL   30
15762017-03-03   NULL   30
15772017-03-03   NULL   30
15782017-03-03   NULL   30
15792017-03-03   NULL   30
15802017-03-03   NULL   30
15812017-03-03   NULL   30
15822017-03-03   NULL   30
15832017-03-04   NULL   87
15842017-03-04   NULL   87
15852017-03-04   NULL   87
15862017-03-04   NULL   87
15872017-03-04   NULL   87
15882017-03-04   NULL   87
15892017-03-04   NULL   30
15902017-03-04   NULL   30
15912017-03-04   NULL   30
15922017-03-04   NULL   30
15932017-03-04   NULL   30
15942017-03-04   NULL   30
15952017-03-04   NULL   30
15962017-03-04   NULL   30
15972017-03-04   NULL   30
15982017-03-04   NULL   30
15992017-03-05   NULL   87
16002017-03-05   NULL   87
16012017-03-05   NULL   87
16022017-03-05   NULL   87
16032017-03-05   NULL   87
16042017-03-05   NULL   30
16052017-03-05   NULL   30
16062017-03-05   NULL   30
16072017-03-05   NULL   30
16082017-03-05   NULL   30
16092017-03-05   NULL   30
16102017-03-06   NULL   87
16112017-03-06   NULL   87
16122017-03-06   NULL   87
16132017-03-06   NULL   87
16142017-03-06   NULL   87
16152017-03-06   NULL   30
16162017-03-06   NULL   30
16172017-03-06   NULL   30
16182017-03-06   NULL   30
16192017-03-06   NULL   30
16202017-03-06   NULL   30
16212017-03-06   NULL   30
16222017-03-06   NULL   30
16232017-03-06   NULL   30
16242017-03-06   NULL   30
16252017-03-07   NULL   87
16262017-03-07   NULL   87
16272017-03-07   NULL   87
16282017-03-07   NULL   87
16292017-03-07   NULL   87
16302017-03-07   NULL   87
16312017-03-07   NULL   87
16322017-03-07   NULL   87
16332017-03-07   NULL   87
16342017-03-07   NULL   30
16352017-03-07   NULL   30
16362017-03-07   NULL   30
16372017-03-07   NULL   30
16382017-03-07   NULL   30
16392017-03-07   NULL   30
16402017-03-07   NULL   30
16412017-03-07   NULL   30
16422017-03-08   NULL   87
16432017-03-08   NULL   87
16442017-03-08   NULL   87
16452017-03-08   NULL   87
16462017-03-08   NULL   87
16472017-03-08   NULL   87
16482017-03-08   NULL   87
16492017-03-08   NULL   87
16502017-03-08   NULL   87
16512017-03-08   NULL   30
16522017-03-08   NULL   30
16532017-03-08   NULL   30
16542017-03-08   NULL   30
16552017-03-08   NULL   30
16562017-03-08   NULL   30
16572017-03-09   NULL   87
16582017-03-09   NULL   87
16592017-03-09   NULL   87
16602017-03-09   NULL   87
16612017-03-09   NULL   87
16622017-03-09   NULL   87
16632017-03-09   NULL   87
16642017-03-09   NULL   87
16652017-03-09   NULL   87
16662017-03-09   NULL   87
16672017-03-09   NULL   87
16682017-03-09   NULL   87
16692017-03-09   NULL   87
16702017-03-09   NULL   30
16712017-03-09   NULL   30
16722017-03-09   NULL   30
16732017-03-09   NULL   30
16742017-03-09   NULL   30
16752017-03-09   NULL   30
16762017-03-09   NULL   30
16772017-03-09   NULL   30
16782017-03-10   NULL   87
16792017-03-10   NULL   87
16802017-03-10   NULL   87
16812017-03-10   NULL   87
16822017-03-10   NULL   87
16832017-03-10   NULL   87
16842017-03-10   NULL   87
16852017-03-10   NULL   87
16862017-03-10   NULL   30
16872017-03-10   NULL   30
16882017-03-10   NULL   30
16892017-03-10   NULL   30
16902017-03-10   NULL   30
16912017-03-10   NULL   30
16922017-03-10   NULL   30
16932017-03-10   NULL   30
16942017-03-11   NULL   87
16952017-03-11   NULL   87
16962017-03-11   NULL   87
16972017-03-11   NULL   87
16982017-03-11   NULL   87
16992017-03-11   NULL   87
17002017-03-11   NULL   87
17012017-03-11   NULL   30
17022017-03-11   NULL   30
17032017-03-11   NULL   30
17042017-03-11   NULL   30
17052017-03-12   NULL   87
17062017-03-12   NULL   87
17072017-03-12   NULL   87
17082017-03-12   NULL   87
17092017-03-12   NULL   87
17102017-03-12   NULL   87
17112017-03-12   NULL   87
17122017-03-12   NULL   87
17132017-03-12   NULL   87
17142017-03-12   NULL   87
17152017-03-12   NULL   30
17162017-03-12   NULL   30
17172017-03-12   NULL   30
17182017-03-12   NULL   30
17192017-03-12   NULL   30
17202017-03-12   NULL   30
17212017-03-12   NULL   30
17222017-03-13   NULL   87
17232017-03-13   NULL   87
17242017-03-13   NULL   87
17252017-03-13   NULL   87
17262017-03-13   NULL   87
17272017-03-13   NULL   30
17282017-03-13   NULL   30
17292017-03-13   NULL   30
17302017-03-13   NULL   30
17312017-03-13   NULL   30
17322017-03-13   NULL   30
17332017-03-13   NULL   30
17342017-03-13   NULL   30
17352017-03-13   NULL   30
17362017-03-13   NULL   30
17372017-03-13   NULL   30
17382017-03-13   NULL   30
17392017-03-14   NULL   87
17402017-03-14   NULL   87
17412017-03-14   NULL   87
17422017-03-14   NULL   87
17432017-03-14   NULL   87
17442017-03-14   NULL   87
17452017-03-14   NULL   87
17462017-03-14   NULL   87
17472017-03-14   NULL   30
17482017-03-14   NULL   30
17492017-03-14   NULL   30
17502017-03-14   NULL   30
17512017-03-14   NULL   30
17522017-03-14   NULL   30
17532017-03-14   NULL   30

17542017-03-14   NULL   30
17552017-03-14   NULL   30
17562017-03-14   NULL   30
17572017-03-14   NULL   30
17582017-03-14   NULL   30
17592017-03-15   NULL   87
17602017-03-15   NULL   87
17612017-03-15   NULL   87
17622017-03-15   NULL   87
17632017-03-15   NULL   87
17642017-03-15   NULL   87
17652017-03-15   NULL   87
17662017-03-15   NULL   87
17672017-03-15   NULL   87
17682017-03-15   NULL   87
17692017-03-15   NULL   87
17702017-03-15   NULL   30
17712017-03-15   NULL   30
17722017-03-15   NULL   30
17732017-03-15   NULL   30
17742017-03-15   NULL   30
17752017-03-15   NULL   30
17762017-03-16   NULL   87
17772017-03-16   NULL   87
17782017-03-16   NULL   87
17792017-03-16   NULL   87
17802017-03-16   NULL   30
17812017-03-16   NULL   30
17822017-03-16   NULL   30
17832017-03-16   NULL   30
17842017-03-16   NULL   30
17852017-03-16   NULL   30
17862017-03-16   NULL   30
17872017-03-16   NULL   30
17882017-03-16   NULL   30
17892017-03-16   NULL   30
17902017-03-16   NULL   30
17912017-03-16   NULL   30
17922017-03-16   NULL   30
17932017-03-17   NULL   87
17942017-03-17   NULL   87
17952017-03-17   NULL   87
17962017-03-17   NULL   87
17972017-03-17   NULL   87
17982017-03-17   NULL   87
17992017-03-17   NULL   87
18002017-03-17   NULL   87
18012017-03-17   NULL   87
18022017-03-17   NULL   87
18032017-03-17   NULL   87
18042017-03-17   NULL   87
18052017-03-17   NULL   87
18062017-03-17   NULL   30
18072017-03-17   NULL   30
18082017-03-17   NULL   30
18092017-03-17   NULL   30
18102017-03-17   NULL   30
18112017-03-17   NULL   30
18122017-03-18   NULL   87
18132017-03-18   NULL   87
18142017-03-18   NULL   87
18152017-03-18   NULL   87
18162017-03-18   NULL   87
18172017-03-18   NULL   87
18182017-03-18   NULL   87
18192017-03-18   NULL   87
18202017-03-18   NULL   87
18212017-03-18   NULL   30
18222017-03-18   NULL   30
18232017-03-18   NULL   30

18242017-03-18   NULL   30
18252017-03-18   NULL   30
18262017-03-18   NULL   30
18272017-03-18   NULL   30
18282017-03-18   NULL   30
18292017-03-19   NULL   87
18302017-03-19   NULL   87
18312017-03-19   NULL   87
18322017-03-19   NULL   87
18332017-03-19   NULL   87
18342017-03-19   NULL   87
18352017-03-19   NULL   87
18362017-03-19   NULL   87
18372017-03-19   NULL   30
18382017-03-19   NULL   30
18392017-03-19   NULL   30
18402017-03-20   NULL   87
18412017-03-20   NULL   87
18422017-03-20   NULL   87
18432017-03-20   NULL   87
18442017-03-20   NULL   87
18452017-03-20   NULL   87
18462017-03-20   NULL   87
18472017-03-20   NULL   87
18482017-03-20   NULL   87
18492017-03-20   NULL   87
18502017-03-20   NULL   87
18512017-03-20   NULL   87
18522017-03-20   NULL   87
18532017-03-20   NULL   87
18542017-03-20   NULL   87
18552017-03-20   NULL   87
18562017-03-20   NULL   30
18572017-03-20   NULL   30
18582017-03-20   NULL   30
18592017-03-20   NULL   30
18602017-03-20   NULL   30
